ocel:eid,ocel:activity,ocel:timestamp,Actor,ocel:type:ocel:oid
359,request,2017-04-08 22:43:00,asf github,['request']
360,pull,2017-04-08 22:43:00,asf github,['request']
361,apply,2017-04-08 22:43:00,asf github,['review']
362,patch,2017-04-08 22:43:00,asf github,['change']
363,close,2017-04-08 22:43:00,asf github,['change']
364,pull,2017-04-08 22:43:00,asf github,['request']
365,request,2017-04-08 22:43:00,asf github,['request']
366,make,2017-04-08 22:43:00,asf github,['pull']
367,commit,2017-04-08 22:43:00,asf github,['request']
368,commit,2017-04-08 22:43:00,asf github,['request']
369,close,2017-04-08 22:43:00,asf github,['change']
370,commit,2017-04-08 22:43:00,asf github,['request']
371,work,2017-04-08 22:47:00,scott cranton,['work']
372,pull,2017-04-09 15:23:00,asf github,['pull']
373,request,2017-04-09 15:23:00,asf github,['pull']
374,pull,2017-04-09 15:27:00,asf github,['request']
375,request,2017-04-09 15:27:00,asf github,['request']
376,merge,2017-04-09 15:27:00,asf github,['body']
377,pull,2017-04-09 15:27:00,asf github,['request']
378,request,2017-04-09 15:27:00,asf github,['request']
379,pull,2017-04-09 15:27:00,asf github,['request']
380,apply,2017-04-09 15:27:00,asf github,['review']
381,patch,2017-04-09 15:27:00,asf github,['change']
382,close,2017-04-09 15:27:00,asf github,['change']
383,pull,2017-04-09 15:27:00,asf github,['request']
384,request,2017-04-09 15:27:00,asf github,['request']
385,make,2017-04-09 15:27:00,asf github,['pull']
386,commit,2017-04-09 15:27:00,asf github,['request']
387,commit,2017-04-09 15:27:00,asf github,['request']
388,close,2017-04-09 15:27:00,asf github,['change']
389,commit,2017-04-09 15:27:00,asf github,['request']
390,pull,2017-04-09 16:02:00,asf github,['pull']
391,request,2017-04-09 16:02:00,asf github,['pull']
392,pull,2017-04-05 11:39:00,asf github,['pull']
393,request,2017-04-05 11:39:00,asf github,['pull']
394,pull,,asf github,['pull']
395,request,,asf github,['pull']
396,fix,2017-04-05 12:55:00,,['fix']
397,fix,,,['fix']
398,fix,2017-04-05 12:55:00,,['fix']
399,fix,,,['fix']
400,fix,2017-04-05 12:56:00,,['camel10748']
401,fix,,,['camel10748']
402,fix,2017-04-05 12:56:00,,['fix']
403,fix,,,['fix']
404,fix,2017-04-05 12:57:00,,['camel10815']
405,fix,,,['camel10815']
406,fix,2017-04-05 12:57:00,,['fix']
407,fix,,,['fix']
408,fix,2017-04-05 12:57:00,,['fix']
409,fix,,,['fix']
410,fix,2017-04-05 12:58:00,,['version']
411,fix,,,['version']
412,make,2017-04-05 13:06:00,zoran regvart,['camel11112']
413,make,2017-04-05 13:06:00,zoran regvart,['camel11112']
